86	4	1
86	6	1
74	58	2
74	59	1
250	202	1
160	138	2
135	130	2
135	131	3
135	132	1
135	133	1
135	135	2
390	380	1
29	20	5
29	21	11
29	22	14
29	23	17
225	208	1
29	24	40
29	25	57
29	26	69
43	68	1
29	27	120
29	28	174
29	29	302
480	462	1
303	289	1
		1
146	61	1
658	609	1
74	60	1
1049	916	1
74	61	3
74	63	5
74	64	1
74	65	3
74	66	1
74	67	6
74	68	5
74	69	6
184	181	1
826	768	1
160	142	1
184	184	1
34	1	7
160	144	1
34	2	8
34	3	8
34	4	8
34	5	4
160	148	1
34	6	12
34	7	2
274	261	2
34	8	8
34	9	2
150	50	8
364	334	1
115	79	1
29	30	2
29	31	3
29	32	1
29	34	1
29	35	1
29	36	1
29	37	2
480	470	1
532	492	1
303	293	1
1667	1646	1
164	1	1
249	21	1
105	21	1
74	70	4
33	10	6
74	71	8
351	283	1
33	11	4
74	72	14
33	12	3
74	73	15
33	13	4
74	74	10
33	14	2
248	202	1
33	15	6
33	16	6
33	17	8
33	18	6
670	560	1
33	19	6
521	513	1
160	151	2
250	220	1
160	153	2
160	155	1
160	156	1
160	157	1
274	270	1
160	159	1
111	100	2
111	101	2
73	1	1
111	104	1
136	21	1
340	304	1
115	83	1
73	4	1
111	106	1
73	5	1
115	84	1
111	107	1
111	108	2
73	6	1
111	109	4
64	14	1
64	15	1
73	9	1
64	16	1
454	424	1
454	426	1
478	469	1
568	540	1
1422	1218	1
570	563	1
105	30	1
33	20	9
33	21	5
33	22	5
33	23	5
248	210	1
33	24	10
351	297	1
33	25	9
33	26	16
158	146	1
33	27	20
158	148	1
33	28	21
33	29	40
555	496	1
326	297	1
250	236	1
111	110	1
111	111	6
115	93	1
64	23	2
115	97	1
506	450	1
115	99	1
64	29	1
21	1	24
21	2	35
21	3	28
21	4	17
568	553	1
21	5	10
21	6	37
21	7	75
21	8	25
183	150	1
21	9	47
1906	1736	1
297	264	1
134	100	0
146	96	1
140	15	1
33	30	32
158	151	2
33	31	62
802	740	1
134	108	1
33	32	118
248	220	1
33	33	177
105	46	1
33	34	4
158	156	1
33	36	3
33	37	1
158	157	1
505	402	1
33	38	1
158	158	1
33	39	1
109	100	0
151	3	1
109	102	2
109	105	3
109	106	2
109	107	3
109	108	3
250	244	1
109	109	1
250	247	1
364	361	1
136	40	1
340	324	2
64	30	1
64	31	1
64	32	1
64	35	1
29	61	1
64	38	1
134	110	1
134	114	1
134	116	1
33	40	1
95	37	1
105	58	1
33	48	1
19	10	47
19	11	46
19	12	41
19	13	79
19	14	84
19	15	113
19	16	175
19	17	303
19	18	476
19	19	1005
198	40	1
501	233	1
64	40	1
6	10	59
136	55	1
6	11	31
64	44	1
6	12	61
6	13	2
64	46	1
6	14	2
6	15	1
64	48	2
1654	1434	1
64	49	1
6	18	1
39	1	2
39	2	4
39	3	7
39	4	6
39	5	4
60	1	1
39	6	4
60	2	3
39	7	3
60	3	4
39	8	5
3462	2652	1
60	4	1
464	386	1
39	9	6
60	6	3
60	7	3
183	173	1
183	174	1
60	9	2
95	40	1
95	42	1
134	123	2
592	522	1
95	45	1
134	125	1
134	127	2
105	64	1
134	128	1
134	129	1
224	202	1
19	20	13
19	21	6
19	22	3
224	206	1
248	247	1
19	23	2
19	24	6
19	25	3
19	27	1
169	4	1
1149	971	1
1491	1353	1
302	286	1
428	406	1
64	50	1
64	51	1
64	52	2
209	132	1
64	53	3
64	54	1
358	183	1
64	56	2
64	57	5
64	58	3
64	59	5
773	732	1
183	180	2
325	270	1
183	186	1
78	3	1
1148	928	1
78	7	1
95	50	1
134	131	3
134	132	1
95	54	1
134	133	2
134	134	2
126	12	1
224	210	2
224	212	1
682	608	1
224	214	1
19	30	2
19	31	1
19	33	1
19	35	1
19	38	1
886	800	1
296	244	1
964	880	1
64	60	7
64	61	16
64	62	18
64	63	15
64	64	19
64	65	3
157	125	1
239	21	1
23	10	17
23	11	25
23	12	29
23	13	28
23	14	21
23	15	25
23	16	28
23	17	28
23	18	55
23	19	83
2156	2064	1
1942	1622	1
273	260	1
209	7	1
724	705	1
